Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,9.880096435546875,9.90674114227295,9.816146850585938,9.832134246826172,6.158526420593262,12573.0
2010-01-05,9.826805114746094,9.869438171386719,9.826805114746094,9.83746337890625,6.161863327026367,1314.0
2010-01-06,9.890753746032715,9.93338680267334,9.874767303466797,9.901412010192871,6.201918601989746,9945.0
2010-01-07,9.901412010192871,9.90674114227295,9.858779907226562,9.858779907226562,6.175218105316162,1314.0
2010-01-08,9.901412010192871,9.93338680267334,9.86410903930664,9.93338680267334,6.221946716308594,5067.0
2010-01-11,9.928057670593262,9.954703330993652,9.869438171386719,9.949374198913574,6.231961250305176,9758.0
2010-01-12,9.869438171386719,9.869438171386719,9.80016040802002,9.832134246826172,6.158526420593262,20266.0
2010-01-13,9.880096435546875,9.949374198913574,9.869438171386719,9.949374198913574,6.231961250305176,6005.0
2010-01-14,9.965360641479492,10.050625801086426,9.965360641479492,10.02931022644043,6.282031059265137,2439.0
2010-01-15,10.018651962280273,10.178524017333984,9.992006301879883,10.178524017333984,6.375494003295898,3002.0
2010-01-19,10.19983959197998,10.338396072387695,10.19983959197998,10.237144470214844,6.412212371826172,14074.0
2010-01-20,10.178524017333984,10.253130912780762,10.109246253967285,10.253130912780762,6.422224521636963,12385.0
2010-01-21,10.087929725646973,10.125232696533203,10.034639358520508,10.034639358520508,6.285368919372559,3565.0
2010-01-22,9.981348037719727,10.050625801086426,9.853450775146484,10.02931022644043,6.282031059265137,6568.0
2010-01-25,10.050625801086426,10.071942329406738,9.938715934753418,10.002664566040039,6.265340328216553,3753.0
2010-01-26,9.949374198913574,9.992006301879883,9.944045066833496,9.965360641479492,6.24197244644165,1877.0
2010-01-27,9.672262191772461,9.70423698425293,9.672262191772461,9.70423698425293,6.0784149169921875,938.0
2010-01-28,9.70423698425293,9.709566116333008,9.666933059692383,9.698907852172852,6.075077533721924,5067.0
2010-01-29,9.784173011779785,9.83746337890625,9.682920455932617,9.682920455932617,6.065062999725342,9007.0
2010-02-01,9.698907852172852,9.86410903930664,9.698907852172852,9.86410903930664,6.178553104400635,2439.0
2010-02-02,9.858779907226562,10.061284065246582,9.858779907226562,10.045296669006348,6.292043685913086,7318.0
2010-02-03,10.061284065246582,10.061284065246582,9.976018905639648,9.992006301879883,6.258665084838867,7318.0
2010-02-04,9.736210823059082,9.794831275939941,9.613641738891602,9.693577766418457,6.0717387199401855,18953.0
